Sample Name,Date Received,Container,Sample LIMS ID,Progress,Investigator Sample Name,Replicate Sample Id,Notes
95777,"Mar 31, 2014",27-18074,NIC1102A2060,Reset,S352444286,MC00285X,11/D/12
95778,"Mar 31, 2014",27-18075,NIC1102A2061,Reset,S612692151,MC00344X,11/E/14
95779,"Mar 31, 2014",27-18076,NIC1102A2062,Reset,S793286817,MC00340X,11/F/10
95780,"Mar 31, 2014",27-18077,NIC1102A2063,Reset,S161509110,MC00726X,11/F/3
95781,"Mar 31, 2014",27-18078,NIC1102A2064,Reset,S923910497,MC00778X,11/F/5
95782,"Mar 31, 2014",27-18079,NIC1102A2065,Reset,S152832379,MC00525X,11/F/7
95783,"Mar 31, 2014",27-18080,NIC1102A2066,Reset,S678960519,MC00357X,11/F/8
95784,"Mar 31, 2014",27-18081,NIC1102A2067,Reset,S495412754,MC00489X,11/G/3
95785,"Mar 31, 2014",27-18082,NIC1102A2068,Reset,S890289050,MC00482X,11/G/4
95786,"Mar 31, 2014",27-18083,NIC1102A2069,Reset,S049374867,MC00065X,11/G/7
95787,"Mar 31, 2014",27-18084,NIC1102A2070,Reset,S507582304,MC00123X,11/H/14
95788,"Mar 31, 2014",27-18085,NIC1102A2071,Reset,S340443196,MC00428X,11/H/5
95789,"Mar 31, 2014",27-18086,NIC1102A2072,Reset,S219803820,MC00733X,11/H/8
95790,"Mar 31, 2014",27-18087,NIC1102A2073,Reset,S765780072,MC00309X,11/I/14
95791,"Mar 31, 2014",27-18088,NIC1102A2074,Reset,S411766864,MC00131X,11/I/7
95792,"Mar 31, 2014",27-18089,NIC1102A2075,Reset,S448391001,MC00696X,11/J/1
95793,"Mar 31, 2014",27-18090,NIC1102A2076,Reset,S117048955,MC00497X,12/A/3
95794,"Mar 31, 2014",27-18091,NIC1102A2077,Reset,S369769106,MC00550X,12/A/4
95795,"Mar 31, 2014",27-18092,NIC1102A2078,Reset,S296452089,MC00545X,12/A/7
95796,"Mar 31, 2014",27-18093,NIC1102A2079,Reset,S392488876,MC00003X,12/B/15
95797,"Mar 31, 2014",27-18094,NIC1102A2080,Reset,S253582957,MC00501X,12/B/8
95798,"Mar 31, 2014",27-18095,NIC1102A2081,Reset,S026834592,MC00347X,12/C/1
95799,"Mar 31, 2014",27-18096,NIC1102A2082,Reset,S173098383,MC00209X,12/C/2
95800,"Mar 31, 2014",27-18097,NIC1102A2083,Reset,S490915115,MC00934X,12/C/7
95801,"Mar 31, 2014",27-18098,NIC1102A2084,Reset,S845289027,MC00458X,12/D/12
95802,"Mar 31, 2014",27-18099,NIC1102A2085,Reset,S246378518,MC00102X,12/D/14
95803,"Mar 31, 2014",27-18100,NIC1102A2086,Reset,S329478069,MC00886X,12/D/2
95804,"Mar 31, 2014",27-18101,NIC1102A2087,Reset,S562064889,MC00686X,12/D/5
95805,"Mar 31, 2014",27-18102,NIC1102A2088,Reset,S726608074,MC00017X,12/D/9
95806,"Mar 31, 2014",27-18103,NIC1102A2089,Reset,S439887777,MC00857X,12/E/14
95807,"Mar 31, 2014",27-18104,NIC1102A2090,Reset,S411338454,MC00138X,12/E/3
95808,"Mar 31, 2014",27-18105,NIC1102A2091,Reset,S452015616,MC00238X,12/F/4
95809,"Mar 31, 2014",27-18106,NIC1102A2092,Reset,S777593002,MC00184X,12/F/5
95810,"Mar 31, 2014",27-18107,NIC1102A2093,Reset,S539719038,MC00355X,12/F/7
95811,"Mar 31, 2014",27-18108,NIC1102A2094,Reset,S234017178,MC00981X,12/G/10
95812,"Mar 31, 2014",27-18109,NIC1102A2095,Reset,S321175568,MC00492X,12/G/13
95813,"Mar 31, 2014",27-18110,NIC1102A2096,Reset,S382401465,MC00753X,12/G/3
95814,"Mar 31, 2014",27-18111,NIC1102A2097,Reset,S280441979,MC00206X,12/G/4
95815,"Mar 31, 2014",27-18112,NIC1102A2098,Reset,S887473497,MC00415X,12/G/5
95816,"Mar 31, 2014",27-18113,NIC1102A2099,Reset,S472000528,MC00382X,12/G/9
95817,"Mar 31, 2014",27-18114,NIC1102A2100,Reset,S843696707,MC00788X,12/H/11
95818,"Mar 31, 2014",27-18115,NIC1102A2101,Reset,S303570577,MC00621X,12/H/12
95819,"Mar 31, 2014",27-18116,NIC1102A2102,Reset,S548613833,MC00421X,12/H/4
95820,"Mar 31, 2014",27-18117,NIC1102A2103,Reset,S484256922,MC00467X,12/I/10
95821,"Mar 31, 2014",27-18118,NIC1102A2104,Reset,S174873602,MC00139X,12/I/13
95822,"Mar 31, 2014",27-18119,NIC1102A2105,Reset,S871689962,MC00350X,12/I/5
95823,"Mar 31, 2014",27-18120,NIC1102A2106,Reset,S780913368,MC00164X,12/I/7
95824,"Mar 31, 2014",27-18121,NIC1102A2107,Reset,S588940917,MC00811X,12/J/11
95825,"Mar 31, 2014",27-18122,NIC1102A2108,Reset,S879641856,MC00803X,12/J/13
95826,"Mar 31, 2014",27-18123,NIC1102A2109,Reset,S632571258,MC00383X,12/J/2
95827,"Mar 31, 2014",27-18124,NIC1102A2110,Reset,S618231988,MC00049X,13/A/10
95828,"Mar 31, 2014",27-18125,NIC1102A2111,Reset,S854615285,MC00642X,13/A/12
95829,"Mar 31, 2014",27-18126,NIC1102A2112,Reset,S570205223,MC00124X,13/A/9
95830,"Mar 31, 2014",27-18127,NIC1102A2113,Reset,S336723758,MC00447X,13/B/1
95831,"Mar 31, 2014",27-18128,NIC1102A2114,Reset,S458410388,MC00025X,13/B/10
95832,"Mar 31, 2014",27-18129,NIC1102A2115,Reset,S621939405,MC00172X,13/B/8
95833,"Mar 31, 2014",27-18130,NIC1102A2116,Reset,S220744961,MC00826X,13/C/11
95834,"Mar 31, 2014",27-18131,NIC1102A2117,Reset,S208047573,MC00724X,13/C/12
95835,"Mar 31, 2014",27-18132,NIC1102A2118,Reset,S872298735,MC00548X,13/C/15
95836,"Mar 31, 2014",27-18133,NIC1102A2119,Reset,S535081269,MC00460X,13/D/3
95837,"Mar 31, 2014",27-18134,NIC1102A2120,Reset,S814066230,MC00509X,13/E/12
95838,"Mar 31, 2014",27-18135,NIC1102A2121,Reset,S950440363,MC00024X,13/E/15
95839,"Mar 31, 2014",27-18136,NIC1102A2122,Reset,S902098041,MC00960X,13/E/3
95840,"Mar 31, 2014",27-18137,NIC1102A2123,Reset,S527578978,MC00813X,13/F/4
95841,"Mar 31, 2014",27-18138,NIC1102A2124,Reset,S534499977,MC00418X,13/F/7
95842,"Mar 31, 2014",27-18139,NIC1102A2125,Reset,S629664203,MC00910X,13/G/12
95843,"Mar 31, 2014",27-18140,NIC1102A2126,Reset,S088912047,MC00972X,13/G/7
95844,"Mar 31, 2014",27-18141,NIC1102A2127,Reset,S038444949,MC00557X,13/J/10
95845,"Mar 31, 2014",27-18142,NIC1102A2128,Reset,S478098463,MC00594X,13/J/2
95846,"Mar 31, 2014",27-18143,NIC1102A2129,Reset,S114904356,MC00812X,13/J/7
95847,"Mar 31, 2014",27-18144,NIC1102A2130,Reset,S452137362,MC00144X,14/A/13
95848,"Mar 31, 2014",27-18145,NIC1102A2131,Reset,S003514074,MC00555X,14/A/2
95849,"Mar 31, 2014",27-18146,NIC1102A2132,Reset,S245278600,MC00105X,14/B/1
95850,"Mar 31, 2014",27-18147,NIC1102A2133,Reset,S741450891,MC00527X,14/B/12
95851,"Mar 31, 2014",27-18148,NIC1102A2134,Reset,S331397734,MC00050X,14/B/7
95852,"Mar 31, 2014",27-18149,NIC1102A2135,Reset,S469656556,MC00535X,14/C/1
95853,"Mar 31, 2014",27-18150,NIC1102A2136,Reset,S867370659,MC00578X,14/D/11
95854,"Mar 31, 2014",27-18151,NIC1102A2137,Reset,S086311709,MC00651X,14/E/15
95855,"Mar 31, 2014",27-18152,NIC1102A2138,Reset,S900241424,MC00523X,14/E/6
95856,"Mar 31, 2014",27-18153,NIC1102A2139,Reset,S343024162,MC00109X,14/F/11
95857,"Mar 31, 2014",27-18154,NIC1102A2140,Reset,S278775927,MC00706X,14/G/3
95858,"Mar 31, 2014",27-18155,NIC1102A2141,Reset,S757263329,MC00490X,14/G/7
95859,"Mar 31, 2014",27-18156,NIC1102A2142,Reset,S080233246,MC00787X,14/G/9
95860,"Mar 31, 2014",27-18157,NIC1102A2143,Reset,S162039114,MC00722X,14/H/13
95861,"Mar 31, 2014",27-18158,NIC1102A2144,Reset,S384199961,MC00884X,14/H/14
95862,"Mar 31, 2014",27-18159,NIC1102A2145,Reset,S116138197,MC00589X,14/H/2
95863,"Mar 31, 2014",27-18160,NIC1102A2146,Reset,S486159691,MC00797X,14/H/7
95864,"Mar 31, 2014",27-18161,NIC1102A2147,Reset,S374726248,MC00058X,14/I/10
95865,"Mar 31, 2014",27-18162,NIC1102A2148,Reset,S437577907,MC00390X,14/I/6
95962,"Mar 31, 2014",27-18259,NIC1102A2245,Reset,S741934716,MC00257X,18/F/13
95963,"Mar 31, 2014",27-18260,NIC1102A2246,Reset,S307173109,MC00849X,18/F/7
95964,"Mar 31, 2014",27-18261,NIC1102A2247,Reset,S680281709,MC00648X,18/F/8
95965,"Mar 31, 2014",27-18262,NIC1102A2248,Reset,S545908341,MC00245X,18/G/1
95966,"Mar 31, 2014",27-18263,NIC1102A2249,Reset,S123068881,MC00772X,18/G/11
95967,"Mar 31, 2014",27-18264,NIC1102A2250,Reset,S698378271,MC00687X,18/G/13
95968,"Mar 31, 2014",27-18265,NIC1102A2251,Reset,S843034380,MC00284X,18/G/5
95969,"Mar 31, 2014",27-18266,NIC1102A2252,Reset,S798238874,MC00624X,18/G/9
95970,"Mar 31, 2014",27-18267,NIC1102A2253,Reset,S024400134,MC00588X,18/H/13
95971,"Mar 31, 2014",27-18268,NIC1102A2254,Reset,S461877840,MC00734X,18/I/11
95972,"Mar 31, 2014",27-18269,NIC1102A2255,Reset,S545942041,MC00933X,18/I/14
95973,"Mar 31, 2014",27-18270,NIC1102A2256,Reset,S491080145,MC00608X,18/J/3
95974,"Mar 31, 2014",27-18271,NIC1102A2257,Reset,S652160187,MC00066X,18/J/7
95975,"Mar 31, 2014",27-18272,NIC1102A2258,Reset,S987109459,MC00304X,19/A/11
95976,"Mar 31, 2014",27-18273,NIC1102A2259,Reset,S970066111,MC00219X,19/A/15
95977,"Mar 31, 2014",27-18274,NIC1102A2260,Reset,S675046357,MC00416X,19/A/9
95978,"Mar 31, 2014",27-18275,NIC1102A2261,Reset,S542053589,MC00980X,19/B/11
95979,"Mar 31, 2014",27-18276,NIC1102A2262,Reset,S066735655,MC00039X,19/B/9
95980,"Mar 31, 2014",27-18277,NIC1102A2263,Reset,S037952335,MC00199X,19/C/14
95981,"Mar 31, 2014",27-18278,NIC1102A2264,Reset,S080753151,MC00351X,19/C/6
95982,"Mar 31, 2014",27-18279,NIC1102A2265,Reset,S687202665,MC00498X,19/D/10
95983,"Mar 31, 2014",27-18280,NIC1102A2266,Reset,S345496672,MC00914X,19/D/12
95984,"Mar 31, 2014",27-18281,NIC1102A2267,Reset,S689251031,MC00984X,19/D/8
95985,"Mar 31, 2014",27-18282,NIC1102A2268,Reset,S850641976,MC00443X,19/E/10
95986,"Mar 31, 2014",27-18283,NIC1102A2269,Reset,S648492669,MC00872X,19/E/13
95987,"Mar 31, 2014",27-18284,NIC1102A2270,Reset,S558933500,MC00615X,19/E/4
95988,"Mar 31, 2014",27-18285,NIC1102A2271,Reset,S258618552,MC00844X,19/F/4
95989,"Mar 31, 2014",27-18286,NIC1102A2272,Reset,S324397521,MC00979X,19/F/6
95990,"Mar 31, 2014",27-18287,NIC1102A2273,Reset,S357074941,MC00406X,19/G/7
95991,"Mar 31, 2014",27-18288,NIC1102A2274,Reset,S506200577,MC00032X,19/I/15
95992,"Mar 31, 2014",27-18289,NIC1102A2275,Reset,S792315876,MC00339X,19/I/3
95993,"Mar 31, 2014",27-18290,NIC1102A2276,Reset,S090838648,MC00850X,19/I/4
95994,"Mar 31, 2014",27-18291,NIC1102A2277,Reset,S804646601,MC00799X,19/I/7
95995,"Mar 31, 2014",27-18292,NIC1102A2278,Reset,S088450148,MC00560X,19/J/11
95996,"Mar 31, 2014",27-18293,NIC1102A2279,Reset,S454246063,MC00976X,19/J/14
95997,"Mar 31, 2014",27-18294,NIC1102A2280,Reset,S869312861,MC00325X,19/J/9
95998,"Mar 31, 2014",27-18295,NIC1102A2281,Reset,S429334996,MC00015X,2/A/15
95999,"Mar 31, 2014",27-18296,NIC1102A2282,Reset,S533922191,MC00921X,2/A/8
96000,"Mar 31, 2014",27-18297,NIC1102A2283,Reset,S836944398,MC00627X,2/B/1
96001,"Mar 31, 2014",27-18298,NIC1102A2284,Reset,S861026772,MC00044X,2/B/7
96002,"Mar 31, 2014",27-18299,NIC1102A2285,Reset,S884370685,MC00751X,2/C/12
96003,"Mar 31, 2014",27-18300,NIC1102A2286,Reset,S341208278,MC00067X,2/C/3
96004,"Mar 31, 2014",27-18301,NIC1102A2287,Reset,S561222256,MC00036X,2/D/13
96005,"Mar 31, 2014",27-18302,NIC1102A2288,Reset,S779720786,MC00370X,2/D/14
96006,"Mar 31, 2014",27-18303,NIC1102A2289,Reset,S030041065,MC00140X,2/D/3
96007,"Mar 31, 2014",27-18304,NIC1102A2290,Reset,S221056133,MC00935X,2/D/7
96008,"Mar 31, 2014",27-18305,NIC1102A2291,Reset,S269435163,MC00735X,2/E/2
96009,"Mar 31, 2014",27-18306,NIC1102A2292,Reset,S452100522,MC00577X,2/F/13
96010,"Mar 31, 2014",27-18307,NIC1102A2293,Reset,S651257496,MC00040X,2/F/6
96011,"Mar 31, 2014",27-18308,NIC1102A2294,Reset,S336809473,MC00259X,2/H/13
96012,"Mar 31, 2014",27-18309,NIC1102A2295,Reset,S328290120,MC00056X,2/I/12
96013,"Mar 31, 2014",27-18310,NIC1102A2296,Reset,S806133157,MC00012X,2/J/4
96014,"Mar 31, 2014",27-18311,NIC1102A2297,Reset,S670438481,MC00187X,20/A/14
96015,"Mar 31, 2014",27-18312,NIC1102A2298,Reset,S203180902,MC00007X,20/A/5
96016,"Mar 31, 2014",27-18313,NIC1102A2299,Reset,S608651250,MC00471X,20/B/8
96017,"Mar 31, 2014",27-18314,NIC1102A2300,Reset,S731825094,MC00322X,20/C/2
96018,"Mar 31, 2014",27-18315,NIC1102A2301,Reset,S600647520,MC00816X,20/C/5
96019,"Mar 31, 2014",27-18316,NIC1102A2302,Reset,S115577548,MC00638X,20/D/1
96020,"Mar 31, 2014",27-18317,NIC1102A2303,Reset,S880741840,MC00381X,20/D/4
96021,"Mar 31, 2014",27-18318,NIC1102A2304,Reset,S747724966,MC00690X,20/D/6
96022,"Mar 31, 2014",27-18319,NIC1102A2305,Reset,S996283266,MC00815X,20/E/10
96023,"Mar 31, 2014",27-18320,NIC1102A2306,Reset,S835639067,MC00990X,20/E/11
96024,"Mar 31, 2014",27-18321,NIC1102A2307,Reset,S219732223,MC00270X,20/E/9
96025,"Mar 31, 2014",27-18322,NIC1102A2308,Reset,S184058489,MC00186X,20/F/4
96026,"Mar 31, 2014",27-18323,NIC1102A2309,Reset,S901315670,MC00944X,20/F/5
96027,"Mar 31, 2014",27-18324,NIC1102A2310,Reset,S175037308,MC00157X,20/F/8
96028,"Mar 31, 2014",27-18325,NIC1102A2311,Reset,S103938763,MC00997X,20/G/12
96029,"Mar 31, 2014",27-18326,NIC1102A2312,Reset,S432789796,MC00222X,20/G/3
96030,"Mar 31, 2014",27-18327,NIC1102A2313,Reset,S644933633,MC00280X,20/G/8
96031,"Mar 31, 2014",27-18328,NIC1102A2314,Reset,S679105426,MC00626X,20/H/12
96032,"Mar 31, 2014",27-18329,NIC1102A2315,Reset,S884105311,MC00575X,20/H/9
96033,"Mar 31, 2014",27-18330,NIC1102A2316,Reset,S095935247,MC00607X,20/I/10
96034,"Mar 31, 2014",27-18331,NIC1102A2317,Reset,S822413532,MC00433X,20/I/12
96035,"Mar 31, 2014",27-18332,NIC1102A2318,Reset,S828253206,MC00115X,20/I/13
96036,"Mar 31, 2014",27-18333,NIC1102A2319,Reset,S994971369,MC00770X,20/I/2
96037,"Mar 31, 2014",27-18334,NIC1102A2320,Reset,S264472782,MC00565X,20/I/6
96038,"Mar 31, 2014",27-18335,NIC1102A2321,Reset,S622655496,MC00731X,20/I/9
96039,"Mar 31, 2014",27-18336,NIC1102A2322,Reset,S502037708,MC00062X,20/J/14
96040,"Mar 31, 2014",27-18337,NIC1102A2323,Reset,S204049314,MC00224X,20/J/6
96041,"Mar 31, 2014",27-18338,NIC1102A2324,Reset,S187758446,MC00326X,21/A/1
96042,"Mar 31, 2014",27-18339,NIC1102A2325,Reset,S758090379,MC00479X,21/A/5
96043,"Mar 31, 2014",27-18340,NIC1102A2326,Reset,S418662447,MC00579X,21/A/6
96044,"Mar 31, 2014",27-18341,NIC1102A2327,Reset,S767253651,MC00477X,21/B/10
96045,"Mar 31, 2014",27-18342,NIC1102A2328,Reset,S232418975,MC00943X,21/B/12
96046,"Mar 31, 2014",27-18343,NIC1102A2329,Reset,S262825918,MC00343X,21/B/14
96047,"Mar 31, 2014",27-18344,NIC1102A2330,Reset,S298006836,MC00423X,21/B/6
96048,"Mar 31, 2014",27-18345,NIC1102A2331,Reset,S394392721,MC00712X,21/B/8
96049,"Mar 31, 2014",27-18346,NIC1102A2332,Reset,S139982590,MC00942X,21/C/3
96050,"Mar 31, 2014",27-18347,NIC1102A2333,Reset,S532646942,MC00239X,21/C/8
96051,"Mar 31, 2014",27-18348,NIC1102A2334,Reset,S598254952,MC00599X,21/D/14
96052,"Mar 31, 2014",27-18349,NIC1102A2335,Reset,S693908142,MC00771X,21/D/3
96053,"Mar 31, 2014",27-18350,NIC1102A2336,Reset,S476217576,MC00785X,21/D/6
96054,"Mar 31, 2014",27-18351,NIC1102A2337,Reset,S801200041,MC00549X,21/D/7
96055,"Mar 31, 2014",27-18352,NIC1102A2338,Reset,S165671253,MC00635X,21/D/8
96056,"Mar 31, 2014",27-18353,NIC1102A2339,Reset,S661238745,MC00906X,21/E/7
96057,"Mar 31, 2014",27-18354,NIC1102A2340,Reset,S626074087,MC00915X,21/F/4
96058,"Mar 31, 2014",27-18355,NIC1102A2341,Reset,S721355591,MC00402X,21/G/12
96059,"Mar 31, 2014",27-18356,NIC1102A2342,Reset,S274591776,MC00587X,21/G/15
96060,"Mar 31, 2014",27-18357,NIC1102A2343,Reset,S925846650,MC00128X,21/G/4
96061,"Mar 31, 2014",27-18358,NIC1102A2344,Reset,S036697345,MC00232X,21/G/8
96062,"Mar 31, 2014",27-18359,NIC1102A2345,Reset,S828150915,MC00363X,21/H/15
96063,"Mar 31, 2014",27-18360,NIC1102A2346,Reset,S946400993,MC00356X,21/H/2
96064,"Mar 31, 2014",27-18361,NIC1102A2347,Reset,S459941446,MC00863X,21/H/3
96065,"Mar 31, 2014",27-18362,NIC1102A2348,Reset,S740114386,MC00895X,21/H/9
96066,"Mar 31, 2014",27-18363,NIC1102A2349,Reset,S788700467,MC00694X,21/I/11
96067,"Mar 31, 2014",27-18364,NIC1102A2350,Reset,S080693399,MC00442X,21/I/12
96068,"Mar 31, 2014",27-18365,NIC1102A2351,Reset,S370665464,MC00646X,21/I/5
96069,"Mar 31, 2014",27-18366,NIC1102A2352,Reset,S880130197,MC00302X,21/I/6
96070,"Mar 31, 2014",27-18367,NIC1102A2353,Reset,S122221772,MC00834X,21/I/8
96071,"Mar 31, 2014",27-18368,NIC1102A2354,Reset,S998225354,MC00717X,21/J/11
96072,"Mar 31, 2014",27-18369,NIC1102A2355,Reset,S513024753,MC00461X,22/A/14
96073,"Mar 31, 2014",27-18370,NIC1102A2356,Reset,S832979817,MC00526X,22/A/7
96074,"Mar 31, 2014",27-18371,NIC1102A2357,Reset,S804782189,MC00840X,22/B/1
96075,"Mar 31, 2014",27-18372,NIC1102A2358,Reset,S170548828,MC00398X,22/B/6
96076,"Mar 31, 2014",27-18373,NIC1102A2359,Reset,S677689659,MC00841X,22/C/12
96077,"Mar 31, 2014",27-18374,NIC1102A2360,Reset,S308920431,MC00645X,22/C/2
96078,"Mar 31, 2014",27-18375,NIC1102A2361,Reset,S390757268,MC00660X,22/D/14
96079,"Mar 31, 2014",27-18376,NIC1102A2362,Reset,S184230212,MC00254X,22/D/15
96080,"Mar 31, 2014",27-18377,NIC1102A2363,Reset,S389896590,MC00194X,22/E/13
96081,"Mar 31, 2014",27-18378,NIC1102A2364,Reset,S051181166,MC00431X,22/G/2
96082,"Mar 31, 2014",27-18379,NIC1102A2365,Reset,S207799642,MC00016X,22/G/9
96083,"Mar 31, 2014",27-18380,NIC1102A2366,Reset,S540993713,MC00394X,22/H/2
96084,"Mar 31, 2014",27-18381,NIC1102A2367,Reset,S479146639,MC00917X,22/I/2
96085,"Mar 31, 2014",27-18382,NIC1102A2368,Reset,S748697385,MC00897X,22/I/6
96086,"Mar 31, 2014",27-18383,NIC1102A2369,Reset,S838421637,MC00650X,22/I/7
96087,"Mar 31, 2014",27-18384,NIC1102A2370,Reset,S869165301,MC00034X,22/J/1
96088,"Mar 31, 2014",27-18385,NIC1102A2371,Reset,S463536052,MC00828X,22/J/13
96089,"Mar 31, 2014",27-18386,NIC1102A2372,Reset,S355490365,MC00945X,22/J/14
96090,"Mar 31, 2014",27-18387,NIC1102A2373,Reset,S946801572,MC00737X,22/J/15
96091,"Mar 31, 2014",27-18388,NIC1102A2374,Reset,S523109749,MC00819X,22/J/5
